type,actor,n
Movie,Amparo Moreno,3
Movie,Amr Abdel-Geleel,3
Movie,Amr El Kady,6
Movie,Amr Saad,9
Movie,Amr Sakr,3
Movie,Amr Youssef,7
Movie,Amrinder Gill,3
Movie,Amrish Puri,57
Movie,Amrit Maghera,6
Movie,Amrit Pal,23
Movie,Amrita Acharia,5
Movie,Amrita Bagchi,3
Movie,Amrita Chattopadhyay,3
Movie,Amrita Puri,9
Movie,Amrita Rao,14
Movie,Amrita Singh,14
Movie,Amruta Khanvilkar,3
Movie,Amruta Patki,3
Movie,Amruta Subhash,13
Movie,Amrutha Anna Reji,3
Movie,Amrutha Karagada,6
